"City","ID","Name","Sex","Age","Height","Weight","Team","NOC","Games","Year","Season","Sport","Event","Medal","Country","host","TeamEvent","won","n_medals"
"Rio de Janeiro",93550,"Ghislain Gabriel Perrier",1,29,179,75,"Brazil","BRA","2016 Summer",2016,"Summer","Fencing","Fencing Men's Foil, Individual",NA,"Brazil",1,0,0,0
"Rio de Janeiro",10960,"Sarra Besbes",0,27,175,62,"Tunisia","TUN","2016 Summer",2016,"Summer","Fencing","Fencing Women's epee, Individual",NA,"Brazil",0,0,0,0
"Rio de Janeiro",65322,"Kristina Kuusk",0,30,180,74,"Estonia","EST","2016 Summer",2016,"Summer","Fencing","Fencing Women's epee, Team",NA,"Brazil",0,1,0,0
"Rio de Janeiro",17238,"Jrmy Cadot",1,29,185,78,"France","FRA","2016 Summer",2016,"Summer","Fencing","Fencing Men's Foil, Individual",NA,"Brazil",0,0,0,0
"Rio de Janeiro",86206,"Bohdan Sergiyevych Nikishyn",1,36,188,85,"Ukraine","UKR","2016 Summer",2016,"Summer","Fencing","Fencing Men's epee, Individual",NA,"Brazil",0,0,0,0
"Rio de Janeiro",45138,"Laurence Halsted",1,32,185,85,"Great Britain","GBR","2016 Summer",2016,"Summer","Fencing","Fencing Men's Foil, Individual",NA,"Brazil",0,0,0,0
"Rio de Janeiro",67572,"Antonio Junior Leal Pia",1,29,165,60,"Venezuela","VEN","2016 Summer",2016,"Summer","Fencing","Fencing Men's Foil, Individual",NA,"Brazil",0,0,0,0
"Rio de Janeiro",78380,"Guilherme Melaragno",1,22,184,88,"Brazil","BRA","2016 Summer",2016,"Summer","Fencing","Fencing Men's epee, Team",NA,"Brazil",1,1,0,0
"Rio de Janeiro",69929,"Francisco Alberto Limardo Gascn",1,29,180,75,"Venezuela","VEN","2016 Summer",2016,"Summer","Fencing","Fencing Men's epee, Team",NA,"Brazil",0,1,0,0
"Rio de Janeiro",14698,"Ana Maria Florentina Brnz-Popescu",0,31,175,64,"Romania","ROU","2016 Summer",2016,"Summer","Fencing","Fencing Women's epee, Team","Gold","Brazil",0,1,1,1
"Rio de Janeiro",45408,"Mohamed Hamza",1,15,172,62,"Egypt","EGY","2016 Summer",2016,"Summer","Fencing","Fencing Men's Foil, Team",NA,"Brazil",0,1,0,0
"Rio de Janeiro",17238,"Jrmy Cadot",1,29,185,78,"France","FRA","2016 Summer",2016,"Summer","Fencing","Fencing Men's Foil, Team","Silver","Brazil",0,1,1,0
"Rio de Janeiro",45877,"Hao Jialu",0,28,176,66,"China","CHN","2016 Summer",2016,"Summer","Fencing","Fencing Women's epee, Team","Silver","Brazil",0,1,1,0
"Rio de Janeiro",43311,"Gauthier Grumier",1,32,188,83,"France","FRA","2016 Summer",2016,"Summer","Fencing","Fencing Men's epee, Individual","Bronze","Brazil",0,0,1,0
"Rio de Janeiro",63541,"Magorzata Kozaczuk",0,28,169,62,"Poland","POL","2016 Summer",2016,"Summer","Fencing","Fencing Women's Sabre, Team",NA,"Brazil",0,1,0,0
"Rio de Janeiro",32480,"Irina Embrich (Zamkovaja-)",0,36,170,54,"Estonia","EST","2016 Summer",2016,"Summer","Fencing","Fencing Women's epee, Team",NA,"Brazil",0,1,0,0
"Rio de Janeiro",91583,"Park Sang-Young",1,20,177,73,"South Korea","KOR","2016 Summer",2016,"Summer","Fencing","Fencing Men's epee, Individual","Gold","Brazil",0,0,1,0
"Rio de Janeiro",21023,"Choi In-Jeong",0,26,174,59,"South Korea","KOR","2016 Summer",2016,"Summer","Fencing","Fencing Women's epee, Team",NA,"Brazil",0,1,0,1
"Rio de Janeiro",68620,"Charlotte Lembach",0,28,164,57,"France","FRA","2016 Summer",2016,"Summer","Fencing","Fencing Women's Sabre, Individual",NA,"Brazil",0,0,0,0
"Rio de Janeiro",1203,"Renzo Pasquale Zeglio Agresta",1,31,181,76,"Brazil","BRA","2016 Summer",2016,"Summer","Fencing","Fencing Men's Sabre, Individual",NA,"Brazil",1,0,0,0
"Rio de Janeiro",64451,"Olena Serhivna Kryvytska",0,29,174,62,"Ukraine","UKR","2016 Summer",2016,"Summer","Fencing","Fencing Women's epee, Individual",NA,"Brazil",0,0,0,0
"Rio de Janeiro",21173,"Alexander Choupenitch",1,22,196,89,"Czech Republic","CZE","2016 Summer",2016,"Summer","Fencing","Fencing Men's Foil, Individual",NA,"Brazil",0,0,0,0
"Rio de Janeiro",13652,"Peer Borsky",1,25,192,80,"Switzerland","SUI","2016 Summer",2016,"Summer","Fencing","Fencing Men's epee, Team",NA,"Brazil",0,1,0,0
"Rio de Janeiro",4442,"Vadim Vladimirovich Anokhin",1,24,192,91,"Russia","RUS","2016 Summer",2016,"Summer","Fencing","Fencing Men's epee, Team",NA,"Brazil",0,1,0,0
"Rio de Janeiro",109527,"Yana Volodymyrivna Shemiakina",0,30,168,60,"Ukraine","UKR","2016 Summer",2016,"Summer","Fencing","Fencing Women's epee, Team",NA,"Brazil",0,1,0,1
"Rio de Janeiro",52053,"Gza Imre",1,41,184,75,"Hungary","HUN","2016 Summer",2016,"Summer","Fencing","Fencing Men's epee, Team","Bronze","Brazil",0,1,1,3
"Rio de Janeiro",44239,"Astrid Murielle Guyart",0,33,174,59,"France","FRA","2016 Summer",2016,"Summer","Fencing","Fencing Women's Foil, Individual",NA,"Brazil",0,0,0,0
"Rio de Janeiro",11273,"Ilaria Bianco",0,36,165,55,"Italy","ITA","2016 Summer",2016,"Summer","Fencing","Fencing Women's Sabre, Team",NA,"Brazil",0,1,0,0
"Rio de Janeiro",86515,"Shiho Nishioka",0,27,169,60,"Japan","JPN","2016 Summer",2016,"Summer","Fencing","Fencing Women's Foil, Individual",NA,"Brazil",0,0,0,0
"Rio de Janeiro",117523,"ron Szilgyi",1,26,180,78,"Hungary","HUN","2016 Summer",2016,"Summer","Fencing","Fencing Men's Sabre, Individual","Gold","Brazil",0,0,1,1
"Rio de Janeiro",127659,"V Thnh An",1,23,185,80,"Vietnam","VIE","2016 Summer",2016,"Summer","Fencing","Fencing Men's Sabre, Individual",NA,"Brazil",0,0,0,0
"Rio de Janeiro",86770,"Nozomi Nokano-Sato",0,30,173,61,"Japan","JPN","2016 Summer",2016,"Summer","Fencing","Fencing Women's epee, Individual",NA,"Brazil",0,0,0,0
"Rio de Janeiro",111318,"Hamid (Victor-) Sints",1,35,169,67,"Algeria","ALG","2016 Summer",2016,"Summer","Fencing","Fencing Men's Foil, Individual",NA,"Brazil",0,0,0,0
"Rio de Janeiro",34718,"Mohamed Ayoub Al-Ferjani",1,30,185,88,"Tunisia","TUN","2016 Summer",2016,"Summer","Fencing","Fencing Men's Foil, Individual",NA,"Brazil",0,0,0,0
"Rio de Janeiro",60761,"Erika Kirpu",0,24,174,61,"Estonia","EST","2016 Summer",2016,"Summer","Fencing","Fencing Women's epee, Team",NA,"Brazil",0,1,0,0
"Rio de Janeiro",38841,"Daniele Garozzo",1,23,177,65,"Italy","ITA","2016 Summer",2016,"Summer","Fencing","Fencing Men's Foil, Team",NA,"Brazil",0,1,0,1
"Rio de Janeiro",17837,"Kelvin Jos Caa Infante",1,28,173,72,"Venezuela","VEN","2016 Summer",2016,"Summer","Fencing","Fencing Men's epee, Team",NA,"Brazil",0,1,0,0
"Rio de Janeiro",41227,"Carolin Elisabeth Golubytskyi (Wutz-)",0,30,167,57,"Germany","GER","2016 Summer",2016,"Summer","Fencing","Fencing Women's Foil, Individual",NA,"Brazil",0,0,0,0
