"ID","Name","Sex","Age","Height","Weight","Team","NOC","Year","Season","Sport","Event","Country","host","TeamEvent","n_medals"
99886,"Lauren Rembi",0,32,178,60,"France","FRA",2024,"Summer","Fencing","Fencing Women's epee, Individual","Brazil",1,0,0
6743,"Marta Baenza Centurion",0,32,164,52,"Other","BRA",2024,"Summer","Fencing","Fencing Women's Sabre, Individual","Brazil",0,0,0
40417,"Isis Raymari Gimnez Surez",0,34,170,68,"Other","VEN",2024,"Summer","Fencing","Fencing Women's Foil, Individual","Brazil",0,0,0
72025,"Jean-Michel Lucenay",1,46,186,78,"France","FRA",2024,"Summer","Fencing","Fencing Men's epee, Team","Brazil",1,1,1
82901,"Ibtihaj Muhammad",0,38,170,68,"United States","USA",2024,"Summer","Fencing","Fencing Women's Sabre, Individual","Brazil",0,0,0
47885,"Anatoliy Anatoliyovych Herei",1,35,186,75,"Other","UKR",2024,"Summer","Fencing","Fencing Men's epee, Individual","Brazil",0,0,0
20571,"Ka Long ""Edgar"" Cheung",1,27,181,68,"Other","HKG",2024,"Summer","Fencing","Fencing Men's Foil, Individual","Brazil",0,0,0
95300,"Paolo Pizzo",1,41,180,70,"Italy","ITA",2024,"Summer","Fencing","Fencing Men's epee, Individual","Brazil",0,0,1
72724,"Ma Jianfei",1,40,186,78,"Other","CHN",2024,"Summer","Fencing","Fencing Men's Foil, Individual","Brazil",0,0,0
40004,"Simona Cristina Gherman (Alexandru-)",0,39,170,58,"Other","ROU",2024,"Summer","Fencing","Fencing Women's epee, Team","Brazil",0,1,1
120793,"Guilherme Amaral Toldo",1,31,176,70,"Other","BRA",2024,"Summer","Fencing","Fencing Men's Foil, Individual","Brazil",0,0,0
33257,"Mohamed Essam Al-Din Hassanain",1,29,180,74,"Other","EGY",2024,"Summer","Fencing","Fencing Men's Foil, Individual","Brazil",0,0,0
60028,"Kim Jeong-Hwan",1,40,178,66,"Other","KOR",2024,"Summer","Fencing","Fencing Men's Sabre, Individual","Brazil",0,0,2
132795,"Yana Karapetovna Yegoryan",0,30,175,64,"Other","RUS",2024,"Summer","Fencing","Fencing Women's Sabre, Team","Brazil",0,1,1
113034,"Pter Somfai",1,44,188,85,"Hungary","HUN",2024,"Summer","Fencing","Fencing Men's epee, Team","Brazil",0,1,1
33257,"Mohamed Essam Al-Din Hassanain",1,29,180,74,"Other","EGY",2024,"Summer","Fencing","Fencing Men's Foil, Team","Brazil",0,1,0
3403,"Mohamed Amer",1,26,199,80,"Other","EGY",2024,"Summer","Fencing","Fencing Men's Sabre, Individual","Brazil",0,0,0
383,"Mojtaba Abedini Shormasti",1,39,180,83,"Other","IRI",2024,"Summer","Fencing","Fencing Men's Sabre, Individual","Brazil",0,0,0
39168,"Yuliya Petrovna Gavrilova",0,35,169,56,"Other","RUS",2024,"Summer","Fencing","Fencing Women's Sabre, Team","Brazil",0,1,1
7217,"Andrea Baldini",1,38,175,70,"Italy","ITA",2024,"Summer","Fencing","Fencing Men's Foil, Team","Brazil",0,1,1
109532,"Shen Chen",0,34,171,62,"Other","CHN",2024,"Summer","Fencing","Fencing Women's Sabre, Individual","Brazil",0,0,0
69930,"Rubn Daro Limardo Gascn",1,39,175,75,"Other","VEN",2024,"Summer","Fencing","Fencing Men's epee, Team","Brazil",0,1,1
68450,"Lei Sheng",1,40,193,77,"Other","CHN",2024,"Summer","Fencing","Fencing Men's Foil, Individual","Brazil",0,0,1
59209,"Olha Hennadivna Kharlan",0,33,172,68,"Other","UKR",2024,"Summer","Fencing","Fencing Women's Sabre, Individual","Brazil",0,0,4
110649,"Amanda Netto Simeo",0,30,166,62,"Other","BRA",2024,"Summer","Fencing","Fencing Women's epee, Team","Brazil",0,1,0
110096,"Lyubov Andreyevna Shutova",0,41,177,64,"Other","RUS",2024,"Summer","Fencing","Fencing Women's epee, Individual","Brazil",0,0,0
75301,"Henrique Tavian Pereira Marques",1,27,178,71,"Other","BRA",2024,"Summer","Fencing","Fencing Men's Foil, Individual","Brazil",0,0,0
59341,"Sergey Viktorovich Khodos",1,38,197,87,"Other","RUS",2024,"Summer","Fencing","Fencing Men's epee, Team","Brazil",0,1,0
10279,"Ji Beran",1,42,192,80,"Other","CZE",2024,"Summer","Fencing","Fencing Men's epee, Individual","Brazil",0,0,0
18840,"Andrea Cassar",1,40,193,93,"Italy","ITA",2024,"Summer","Fencing","Fencing Men's Foil, Individual","Brazil",0,0,3
63873,"Olena Vitalivna Kravatska",0,32,176,66,"Other","UKR",2024,"Summer","Fencing","Fencing Women's Sabre, Individual","Brazil",0,0,0
34882,"Silvio Ernesto Fernndez Briceo",1,45,193,80,"Other","VEN",2024,"Summer","Fencing","Fencing Men's epee, Team","Brazil",0,1,0
34882,"Silvio Ernesto Fernndez Briceo",1,45,193,80,"Other","VEN",2024,"Summer","Fencing","Fencing Men's epee, Individual","Brazil",0,0,0
43835,"Maria Loreta Gulotta",0,37,174,63,"Italy","ITA",2024,"Summer","Fencing","Fencing Women's Sabre, Team","Brazil",0,1,0
28685,"Loredana Dinu (Iordchioiu-)",0,40,168,60,"Other","ROU",2024,"Summer","Fencing","Fencing Women's epee, Team","Brazil",0,1,1
116514,"Sun Yujie",0,31,185,78,"Other","CHN",2024,"Summer","Fencing","Fencing Women's epee, Team","Brazil",0,1,3
132192,"Aleksey Andreyevich Yakimenko",1,40,184,80,"Other","RUS",2024,"Summer","Fencing","Fencing Men's Sabre, Individual","Brazil",0,0,1
15119,"Maxime Brinck-Croteau",1,38,178,83,"Other","CAN",2024,"Summer","Fencing","Fencing Men's epee, Individual","Brazil",0,0,0
